numero bits;cuantizacion global/local;tipo cuantizacion;accuracy;loss;quantize accuraccy; quantize loss 
8;local;ASYMM;81.78;0.530651644897461;23.63;2.0651082275390626;-58.150000000000006
8;global;ASYMM;81.78;0.530651644897461;14.13;2.2798928466796875;-67.65
6;local;ASYMM;81.78;0.530651644897461;9.89;2.30584091796875;-71.89
6;global;ASYMM;81.78;0.530651644897461;15.78;2.2723734619140625;-66.0
4;local;ASYMM;81.78;0.530651644897461;10.0;2.332354638671875;-71.78
4;global;ASYMM;81.78;0.530651644897461;10.0;2.3025850341796876;-71.78
8;local;SYMM;81.78;0.530651644897461;21.05;2.1135754638671873;-60.730000000000004
8;global;SYMM;81.78;0.530651644897461;10.36;2.3078020751953123;-71.42
6;local;SYMM;81.78;0.530651644897461;11.4;2.299975244140625;-70.38
6;global;SYMM;81.78;0.530651644897461;10.0;2.329119482421875;-71.78
4;local;SYMM;81.78;0.530651644897461;10.0;2.41707294921875;-71.78
4;global;SYMM;81.78;0.530651644897461;10.0;2.41707294921875;-71.78
