numero bits;cuantizacion global/local;tipo cuantizacion;accuracy;loss;quantize accuraccy; quantize loss ;accuracy difference
7;global;ASYMM;83.27;0.5666888214111329;19.27;2.2573716064453127;-64.0
8;global;ASYMM;83.27;0.5666888214111329;79.14;0.6733258911132812;-4.1299999999999955
8;local;ASYMM;86.7;0.4656379455566406;83.26;0.575769873046875;-3.4399999999999977
8;global;ASYMM;86.7;0.4656379455566406;65.36;0.9997741516113281;-21.340000000000003
6;local;ASYMM;86.7;0.4656379455566406;11.35;2.25120556640625;-75.35000000000001
6;global;ASYMM;86.7;0.4656379455566406;11.35;2.30165166015625;-75.35000000000001
4;local;ASYMM;86.7;0.4656379455566406;10.83;2.3434263916015623;-75.87
4;global;ASYMM;86.7;0.4656379455566406;16.37;2.156292138671875;-70.33
8;local;SYMM;86.7;0.4656379455566406;73.71;1.0493906982421874;-12.990000000000009
8;global;SYMM;86.7;0.4656379455566406;52.7;1.4097174560546875;-34.0
6;local;SYMM;86.7;0.4656379455566406;11.35;2.31179560546875;-75.35000000000001
6;global;SYMM;86.7;0.4656379455566406;3.45;2.4151559326171874;-83.25
4;local;SYMM;86.7;0.4656379455566406;11.35;2.343408056640625;-75.35000000000001
4;global;SYMM;86.7;0.4656379455566406;11.35;2.3673474365234375;-75.35000000000001
8;global;ASYMM;83.27;0.5666888214111329;79.14;0.6733258911132812;-4.1299999999999955
8;global;ASYMM;83.27;0.5666888214111329;79.14;0.6733258911132812;-4.1299999999999955
4;global;ASYMM;87.07;0.45349761657714843;8.06;3.1868935791015627;-79.00999999999999
8;local;ASYMM;87.05;0.4383345458984375;82.37;0.6128288330078125;-4.679999999999993
8;global;ASYMM;87.05;0.4383345458984375;44.94;1.52162158203125;-42.11
6;local;ASYMM;86.27;0.39436611633300783;12.22;2.294579541015625;-74.05
6;global;ASYMM;86.27;0.39436611633300783;19.29;2.284228564453125;-66.97999999999999
4;local;ASYMM;80.81;0.2718141830444336;9.67;2.3398166259765625;-71.14
4;global;ASYMM;80.81;0.2718141830444336;8.0;3.776635009765625;-72.81
8;local;SYMM;87.07;0.45349761657714843;82.25;0.6209162353515625;-4.819999999999993
8;global;SYMM;87.07;0.45349761657714843;35.65;1.8831970825195312;-51.419999999999995
6;local;SYMM;87.07;0.45349761657714843;11.71;2.33664990234375;-75.35999999999999
6;global;SYMM;87.07;0.45349761657714843;10.07;2.3626261474609374;-77.0
4;local;SYMM;87.07;0.45349761657714843;8.92;2.365357568359375;-78.14999999999999
4;global;SYMM;87.07;0.45349761657714843;8.92;2.367896826171875;-78.14999999999999
