numero bits+ADs-cuantizacion global/local+ADs-tipo cuantizacion+ADs-accuracy+ADs-loss+ADs-quantize accuraccy+ADs- quantize loss +ADs-accuracy difference
8;local;ASYMM;39.3;1.6733661254882812;8.2;2.69049443359375;-31.099999999999998
8;global;ASYMM;39.3;1.6733661254882812;13.96;2.2898955322265624;-25.339999999999996
6;local;ASYMM;39.3;1.6733661254882812;10.61;2.3233052734375;-28.689999999999998
6;global;ASYMM;39.3;1.6733661254882812;11.78;2.3065569580078127;-27.519999999999996
4;local;ASYMM;39.3;1.6733661254882812;10.39;2.359589794921875;-28.909999999999997
4;global;ASYMM;39.3;1.6733661254882812;7.58;2.6740200561523437;-31.72
8;local;SYMM;39.3;1.6733661254882812;15.3;2.34033623046875;-23.999999999999996
8;global;SYMM;39.3;1.6733661254882812;9.29;2.608243212890625;-30.009999999999998
6;local;SYMM;39.3;1.6733661254882812;9.84;2.318373583984375;-29.459999999999997
6;global;SYMM;39.3;1.6733661254882812;10.1;2.32203974609375;-29.199999999999996
4;local;SYMM;39.3;1.6733661254882812;10.1;2.2998150390625;-29.199999999999996
4;global;SYMM;39.3;1.6733661254882812;10.1;2.284145703125;-29.199999999999996
8;global;ASYMM;39.3;1.6733661254882812;18.85;2.243489306640625;-20.449999999999996
8;local;ASYMM;39.3;1.6733661254882812;28.08;2.0501786376953124;-11.219999999999999
8;global;ASYMM;39.3;1.6733661254882812;18.89;2.2452698486328124;-20.409999999999997
6;local;ASYMM;39.3;1.6733661254882812;11.87;2.2748897705078126;-27.43
6;global;ASYMM;39.3;1.6733661254882812;9.04;2.3684182861328127;-30.259999999999998
4;local;ASYMM;39.3;1.6733661254882812;31.63;1.9303976318359375;-7.669999999999998
4;global;ASYMM;39.3;1.6733661254882812;5.25;2.9096413330078126;-34.05
8;global;ASYMM;38.83;1.591204736328125;25.87;2.0016105834960936;-12.959999999999997
