numero bits+ADs-cuantizacion global/local+ADs-tipo cuantizacion+ADs-accuracy+ADs-loss+ADs-quantize accuraccy+ADs- quantize loss +ADs-accuracy difference
2;global;ASYMM;47.46;1.3570952758789063;1.98;4.54040361328125;-45.480000000000004
2;local;ASYMM;47.46;1.3570952758789063;10.21;494.806671875;-37.25
3;global;ASYMM;47.46;1.3570952758789063;1.85;3.001539990234375;-45.61
3;local;ASYMM;47.46;1.3570952758789063;9.08;2623.179125;-38.38
4;global;ASYMM;47.46;1.3570952758789063;3.38;2.54023916015625;-44.08
4;local;ASYMM;47.46;1.3570952758789063;16.82;1315.88405;-30.64
5;global;ASYMM;47.46;1.3570952758789063;3.44;2.4004753173828126;-44.02
5;local;ASYMM;47.46;1.3570952758789063;17.9;16.62654775390625;-29.560000000000002
6;global;ASYMM;47.46;1.3570952758789063;4.09;2.3806413818359373;-43.370000000000005
6;local;ASYMM;47.46;1.3570952758789063;9.69;228.863740625;-37.77
7;global;ASYMM;47.46;1.3570952758789063;17.78;2.113387158203125;-29.68
7;local;ASYMM;47.46;1.3570952758789063;13.17;2.2563640380859376;-34.29
8;global;ASYMM;47.46;1.3570952758789063;20.94;2.186535498046875;-26.52
8;local;ASYMM;47.46;1.3570952758789063;27.84;1.743958251953125;-19.62
2;global;SYMM;47.46;1.3570952758789063;10.0;2.3025849609375;-37.46
2;local;SYMM;47.46;1.3570952758789063;2.98;33299.7872;-44.480000000000004
3;global;SYMM;47.46;1.3570952758789063;10.0;2.3293962158203123;-37.46
3;local;SYMM;47.46;1.3570952758789063;7.44;4182.79355;-40.02
4;global;SYMM;47.46;1.3570952758789063;10.0;2.3254525634765626;-37.46
4;local;SYMM;47.46;1.3570952758789063;10.0;192971.4208;-37.46
5;global;SYMM;47.46;1.3570952758789063;9.99;2.350085595703125;-37.47
5;local;SYMM;47.46;1.3570952758789063;7.2;145.7165984375;-40.26
6;global;SYMM;47.46;1.3570952758789063;8.84;2.3644968505859376;-38.620000000000005
6;local;SYMM;47.46;1.3570952758789063;17.7;9.66897568359375;-29.76
7;global;SYMM;47.46;1.3570952758789063;21.46;2.2020033447265623;-26.0
7;local;SYMM;47.46;1.3570952758789063;30.69;1.8042281616210938;-16.77
8;global;SYMM;47.46;1.3570952758789063;26.55;1.8572204956054688;-20.91
8;local;SYMM;47.46;1.3570952758789063;34.33;1.5534825317382812;-13.130000000000003
2;global;ASYMM;10.13;2.5117747138612285e+20;5.13;3.5107976318359375;-5.000000000000001
2;local;ASYMM;10.13;2.5117747138612285e+20;10.0;nan;-0.13000000000000078
3;global;ASYMM;10.13;2.5117747138612285e+20;10.0;2.3162738037109376;-0.13000000000000078
4;global;ASYMM;10.13;2.5117747138612285e+20;10.0;2.3130438232421877;-0.13000000000000078
5;global;ASYMM;10.13;2.5117747138612285e+20;10.0;2.31176494140625;-0.13000000000000078
5;local;ASYMM;10.13;2.5117747138612285e+20;10.0;nan;-0.13000000000000078
6;global;ASYMM;10.13;2.5117747138612285e+20;10.0;2.310982470703125;-0.13000000000000078
6;local;ASYMM;10.13;2.5117747138612285e+20;10.0;nan;-0.13000000000000078
7;global;ASYMM;10.13;2.5117747138612285e+20;10.0;7633.18425;-0.13000000000000078
7;local;ASYMM;10.13;2.5117747138612285e+20;10.0;2.7640783447265624;-0.13000000000000078
8;global;ASYMM;10.13;2.5117747138612285e+20;10.0;13330.166;-0.13000000000000078
8;local;ASYMM;10.13;2.5117747138612285e+20;10.0;1063300586704732.1;-0.13000000000000078
2;global;ASYMM;11.34;1788823.9104;7.2;107.33585078125;-4.14
3;global;ASYMM;11.34;1788823.9104;6.69;4.4618890625;-4.6499999999999995
3;local;ASYMM;11.34;1788823.9104;10.02;337.7910907470703;-1.3200000000000003
4;global;ASYMM;11.34;1788823.9104;3.63;2.3210708984375;-7.71
4;local;ASYMM;11.34;1788823.9104;9.79;413248.1808;-1.5500000000000007
5;global;ASYMM;11.34;1788823.9104;0.83;2.311752197265625;-10.51
5;local;ASYMM;11.34;1788823.9104;10.0;2.6234464111328126;-1.3399999999999999
6;global;ASYMM;11.34;1788823.9104;6.96;2.3056568115234377;-4.38
6;local;ASYMM;11.34;1788823.9104;10.0;457698649204.3264;-1.3399999999999999
7;global;ASYMM;11.34;1788823.9104;10.0;26.67034296875;-1.3399999999999999
7;local;ASYMM;11.34;1788823.9104;19.54;2.1837441162109377;8.2
8;global;ASYMM;11.34;1788823.9104;10.0;28548.4058;-1.3399999999999999
8;local;ASYMM;11.34;1788823.9104;10.0;nan;-1.3399999999999999
2;global;ASYMM;65.34;0.9129865844726562;7.78;26.2200384765625;-57.56
2;local;ASYMM;65.34;0.9129865844726562;10.42;160812454118634.28;-54.92
3;global;ASYMM;65.34;0.9129865844726562;7.15;3.1141057373046874;-58.190000000000005
3;local;ASYMM;65.34;0.9129865844726562;10.01;20855728.7424;-55.330000000000005
4;global;ASYMM;65.34;0.9129865844726562;6.03;2.334459619140625;-59.31
4;local;ASYMM;65.34;0.9129865844726562;2.71;155638.824;-62.63
5;global;ASYMM;65.34;0.9129865844726562;8.51;2.310444970703125;-56.830000000000005
5;local;ASYMM;65.34;0.9129865844726562;22.4;1077.7067625;-42.940000000000005
6;global;ASYMM;65.34;0.9129865844726562;10.58;2.3050949951171873;-54.760000000000005
6;local;ASYMM;65.34;0.9129865844726562;36.17;65.6822625;-29.17
7;global;ASYMM;65.34;0.9129865844726562;9.6;17.044913671875;-55.74
7;local;ASYMM;65.34;0.9129865844726562;29.07;44.133091796875;-36.27
